id,latitude,longitude
53042657,37.8724533,-122.2731164
53042659,37.8725426,-122.2719874
53042661,37.8726947,-122.2707416
53042663,37.8728362,-122.2696086
53042665,37.8730308,-122.2684905
53055187,37.8734606,-122.2720926
53116963,37.8715634,-122.2730150
53116966,37.8717019,-122.2718827
56856544,37.8719052,-122.2706690
234653223,37.8729601,-122.2686676
240404758,37.8737299,-122.2721212
240448822,37.8715860,-122.2732007
240448901,37.8714846,-122.2731805
240448951,37.8717674,-122.2717436
240448954,37.8716787,-122.2717253
240448956,37.8718102,-122.2707283
240448966,37.8723627,-122.2719656
263569404,37.8724393,-122.2732485
307506663,37.8712735,-122.2729841
354052325,37.8718127,-122.2713923
778894094,37.8723867,-122.2736897
778894303,37.8724228,-122.2733868
778894327,37.8724088,-122.2735105
1938181999,37.8736088,-122.2721085
1942845685,37.8727769,-122.2700628
1942845686,37.8728938,-122.2691651
2144915123,37.8714363,-122.2730009
2144915125,37.8715005,-122.2731354
2144915126,37.8715759,-122.2729047
2144915127,37.8715854,-122.2731398
2144915128,37.8716829,-122.2730278
2146034360,37.8717572,-122.2711327
2252953560,37.8718351,-122.2719049
2283661427,37.8726827,-122.2708606
2283661428,37.8727045,-122.2706439
2420456631,37.8733727,-122.2720806
3221155491,37.8727723,-122.2700941
3221163205,37.8723030,-122.2719590
3221163206,37.8723514,-122.2715365
3221163207,37.8723494,-122.2715050
3221163208,37.8723315,-122.2714759
3221163209,37.8723236,-122.2714369
3221163210,37.8723843,-122.2709259
3221163211,37.8725028,-122.2709461
3221163212,37.8724121,-122.2716664
3221163213,37.8724052,-122.2717093
3221163214,37.8723853,-122.2717257
3221163215,37.8723653,-122.2717257
3221163216,37.8723301,-122.2717200
3516403895,37.8729695,-122.2686440
3676980390,37.8714242,-122.2745038
4070629389,37.8716140,-122.2725954
4070629390,37.8711235,-122.2725361
4168189948,37.8711120,-122.2729659
4168189949,37.8714016,-122.2746813
4168189950,37.8714316,-122.2735827
4168189951,37.8716287,-122.2724759
4168189952,37.8716589,-122.2722216
4168189953,37.8719254,-122.2730548
4168189954,37.8721409,-122.2730741
4168189955,37.8730166,-122.2731810
4226423160,37.8716821,-122.2717960
4226423162,37.8717434,-122.2718080
4226423163,37.8717965,-122.2708327
4226423164,37.8718249,-122.2719032
4226423166,37.8718823,-122.2708476
4226423184,37.8723803,-122.2731066
4226423186,37.8724412,-122.2732337
4226425289,37.8724640,-122.2730127
4226425290,37.8725260,-122.2731249
4238979908,37.8733899,-122.2720830
4238979911,37.8735213,-122.2720989
4240963002,37.8725347,-122.2720650
4240963003,37.8725508,-122.2719060
4240963004,37.8726056,-122.2719951
4240963006,37.8726844,-122.2708442
4240963007,37.8727019,-122.2706696
4978061223,37.8712555,-122.2720707
4978061224,37.8713707,-122.2721934
4978061225,37.8717011,-122.2715562
5483224108,37.8729098,-122.2690419
5483224118,37.8727602,-122.2701874
5483224248,37.8712460,-122.2732237
5483224252,37.8713235,-122.2732341
5483224254,37.8713439,-122.2729913
5483224256,37.8714751,-122.2732546
5483224258,37.8714417,-122.2735074
5483224259,37.8723223,-122.2726184
5483224260,37.8724926,-122.2726344
5483224278,37.8715246,-122.2737053
6561896523,37.8712064,-122.2729765
6561896524,37.8720285,-122.2730640
6561896525,37.8715828,-122.2728486
6561896526,37.8716022,-122.2726913
8529673639,37.8715312,-122.2722076
8529673640,37.8707914,-122.2720523
8529673641,37.8710106,-122.2720380
8529673642,37.8709756,-122.2720728
