name,highway,node_ids
Bonita Avenue,residential,240404758-1938181999-4238979911-53055187-4238979908-2420456631-4240963004-53042659
University Avenue,secondary,53116963-2144915126-6561896525-6561896526-4070629389-4168189951
Bonita Avenue,pedestrian,53042659-240448966
Bonita Avenue,residential,240448966-3221163205-2252953560-4226423164-53116966
University Avenue,secondary,53116966-4226423160-240448954-4978061225-2146034360-4226423163-240448956
Berkeley Way,residential,778894094-778894327-778894303-263569404-4226423186-53042657-4226425289-5483224260-4240963002-53042659-4240963003-2283661427-4240963006-53042661-4240963007-2283661428-5483224118-3221155491-1942845685-53042663-1942845686-5483224108-234653223-3516403895-53042665
Martin Luther King Junior Way,tertiary,4168189953-2144915128-53116963
Martin Luther King Junior Way,tertiary,4168189948-6561896523-307506663-5483224254-2144915123-53116963
n/a,service,3221163205-3221163216-3221163206-3221163207-3221163208-3221163209-3221163210-3221163211-3221163212-3221163213-3221163214-3221163215-3221163216
n/a,service,4070629389-4070629390
Martin Luther King Junior Way,tertiary,4168189954-6561896524-4168189953
Martin Luther King Junior Way,tertiary,4168189955-4226425290-53042657
Martin Luther King Junior Way,tertiary,53042657-4226423184-4168189954
University Avenue,secondary,4168189951-4168189952
University Avenue,secondary,4168189952-53116966
University Avenue,secondary,4168189950-5483224258-5483224256-240448901-2144915125-53116963
University Avenue,secondary,53116963-2144915127-240448822-5483224278-3676980390-4168189949
The Promenade,footway,8529673639-4978061224-4978061223-8529673641-8529673642-8529673640
n/a,service,5483224256-5483224252-5483224248
n/a,service,5483224260-5483224259
University Avenue,secondary,56856544-4226423166-354052325-240448951-4226423162-53116966
The Promenade,path,4168189952-8529673639
